date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:55	43407/43407	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:54%20GMT	https://www.srsexteriors.com/storm-restoration/wind-damage/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/storm-restoration/wind-damage/index.html	(from https://www.srsexteriors.com/)
18:22:56	46464/46464	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:54%20GMT	https://www.srsexteriors.com/about-us/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/about-us/index.html	(from https://www.srsexteriors.com/)
18:22:56	3614/3614	---M--	200	added ('OK')	image/png	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/hero-sponsor-hardie.png	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/hero-sponsor-hardie.png	(from https://www.srsexteriors.com/)
18:22:56	34905/34905	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:54%20GMT	https://www.srsexteriors.com/blog/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/blog/index.html	(from https://www.srsexteriors.com/)
18:22:56	40387/40387	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:55%20GMT	https://www.srsexteriors.com/offers/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/offers/index.html	(from https://www.srsexteriors.com/)
18:22:56	3394/3394	---M--	200	added ('OK')	image/png	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/hero-sponsor-pella.png	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/hero-sponsor-pella.png	(from https://www.srsexteriors.com/)
18:22:57	68302/68302	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:55%20GMT	https://www.srsexteriors.com/gallery/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/gallery/index.html	(from https://www.srsexteriors.com/)
18:22:57	2376/2376	---M--	200	added ('OK')	image/jpeg	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/sponsors-oc.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/sponsors-oc.jpg	(from https://www.srsexteriors.com/)
18:22:57	152/152	---M--	302	error ('Found')	text/html	date:Tue,%2012%20Jan%202021%2000:22:56%20GMT	https://www.srsexteriors.com/past-projects/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/past-projects/index.html	(from https://www.srsexteriors.com/)
18:22:57	28130/28130	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:57%20GMT	https://www.srsexteriors.com/careers/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/careers/index.html	(from https://www.srsexteriors.com/)
